chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
GRAVITY BRIDGE,18,18747320245550,1970-01-01T00:00:00Z,Citadel.one,gravityvaloper1nyj09trs40txcmemjsqy2l8f0lkga93esgtw02,E16F5800D5108F9B360D03450E59CFF80D5F83C0
GRAVITY BRIDGE,108,572389958553,2022-11-14T21:05:41.805586559Z,Oldcat,gravityvaloper122mak6mduuzyww573jlpgv57qhk96aqgu7sd8g,BDF668E871841C8BD41FFEE1A0F33F021B35F141
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
INJECTIVE,16,412325474329477091658324,1970-01-01T00:00:00Z,StakeLab,injvaloper1r3lgsyq49zvl36cnevjx3q6u2ep897rws9hauk,0C3BA2F85C910146CA1371618BF158C66B542134
INJECTIVE,15,459951756864122326123128,1970-01-01T00:00:00Z,Chorus One,injvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g46hezv,FEAA42B0C3582CF9EBE4BD52082B90636C8BF3A5
INJECTIVE,8,1186399034576706992522498,2021-12-25T10:00:52.275793929Z,polkachu.com,injvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y9695mhclt,33ED396C904DD8E9A1C2A43FB37C14F5DFDB6E8A
INJECTIVE,11,666724652482604373279681,1970-01-01T00:00:00Z,StakeWithUs,injvaloper1v2xylfeyry808ltt0hwxggzt0fns6uwh74mku3,94254934252CC8F55DF8FBCAD8431EAA8AEF665D
INJECTIVE,34,111083223888404809445644,1970-01-01T00:00:00Z,Stakely.io,injvaloper1mwerm24kce7dcl59t6n0caw7c8zxgkrjj9svwj,D1CE87BBE89B737495416E8C44B9F58D2372D5D1
INJECTIVE,6,1890860577867695559237022,1970-01-01T00:00:00Z,AutoStake  🛡️ Slash Protected,injvaloper1acgud5qpn3frwzjrayqcdsdr9vkl3p6hrz34ts,F39BF9316C07E4F27EE31951F720783C58D09C11
INJECTIVE,40,20205021000000000000000,1970-01-01T00:00:00Z,Matrixed.Link,injvaloper1cwzl3q4h5v8yvzlp64h7fwnduzut3f4nst2gdp,BE05CA28E8C6B283529F607490C0B69BAE212B85
INJECTIVE,5,2285265263528327938283261,1970-01-01T00:00:00Z,Citadel.one,injvaloper1hsxaln75wjs033t3spd8a0gawl4jvxawn6v849,DD2C988B278E526870DD97D7BA75EEAA2FEBD55D
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
JUNO,52,214692689528,2022-11-01T11:27:33.795950245Z,StakeLab,junovaloper1la7th9kc3gdltl53cedxxqpkyk5runudrzwx55,FEE0233B3771EAEB26617E367138A0A6EFAA79B1
JUNO,26,429980107838,1970-01-01T00:00:00Z,Chorus One,junovaloper15urq2dtp9qce4fyc85m6upwm9xul304945tllg,65974BBB920B9393C197F195FB7B214739DBEC70
JUNO,50,215688188662,1970-01-01T00:00:00Z,Stakely.io,junovaloper1hx9yj7qgnp8zhkrqfanvz74mcsg9d8eyskvsxg,C0CA289D913689AC0A9450375E4208F473FD5A2D
JUNO,88,106424509901,1970-01-01T00:00:00Z,StakeWithUs,junovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv0rx2l4,71BDF6B1FBF997AD1875B74F4796CD3D6A5F6D69
JUNO,36,339842587900,1970-01-01T00:00:00Z,polkachu.com,junovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvzc6k3,011CA32A120D5F8007BE9D2AA60C1C7AE8F02634
JUNO,59,178325085358,1970-01-01T00:00:00Z,Stakin,junovaloper1xdywquvz5g6r5wv6tpkj6chad0fkk459gf9ny6,3B7925E257959679621E750F69FE97277B8DD9FC
JUNO,7,1104215476739,1970-01-01T00:00:00Z,Citadel.one,junovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qx4cuznf,A50CF609192A6CF1C6835D56274D18B30459425E
JUNO,21,515528921771,1970-01-01T00:00:00Z,Klub Staking,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,213643E026A49E93FAB4E53D54C18A77F9B651B1
JUNO,31,365049779579,1970-01-01T00:00:00Z,Bro_n_Bro,junovaloper1quqxfrxkycr0uzt4yk0d57tcq3zk7srm7sm6r8,71D07A7BA468ABC50B234F93200F4D91B4AA784A
JUNO,70,130701410108,1970-01-01T00:00:00Z,BlockHunters 🎯,junovaloper1ss7vkqzfal7h4m8ug8lh8peqqyt7vq3s33yv7a,61005496A6BA51A66653DACA655BE31197313975
JUNO,98,94615833071,1970-01-01T00:00:00Z,Oldcat,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,D2C08B4DB6CC564701FA562DA96E54F04BE5857C
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
KAVA,48,175897909111,2022-06-05T09:12:03.791656299Z,StakeLab,kavavaloper1gd5hf545caremavv28apr9mzf7f7ns395c27mq,208882AC55299E529A03F39C8F1B5CFD16596C9F
KAVA,58,56232842962,2022-08-05T16:54:13.167543253Z,Genesis Lab,kavavaloper1uvz0vus7ktxt47cermscwe3k9gs7h9ag05sh6g,E500CFDD070CED3172554EF55B93127A0E41D13D
